well_027e,sel_plate,sel_well,expt,selection,category,antigen,genotype_pair,genotype_CS,background_CS,strain_CS,loc_CS,cond_CS,genotype_S,background_S,strain_S,loc_S,cond_S,cond_notes,bflm,swim,twitch,swarm,PMB-R,FEP-R,TET-R,CIP-R,CHL-R,GEN-R,ERY-R,IPM-R,cdiGMP,FliC,FliCa,FliCb,FlgEHKL,PilQ,PilA,PilB,LasA,LasB,Apr,XcpQ,ToxA,EstA,LepA,PlpD,Phz,Pcn,Pvd,Hcn,Rhl,T3SS,T6SS,Pel,Psl,CdrB,SCV,Mucoid,Alginate,OprM,OprJ,OprN,OprOP,OpdH,OprD,OprL,OprF,OprG,OprH,OprB,MexAB,MexCD,MexEF,MexJK,MexXY,MexGHI,PirA,Pfu,TonB,FptA,FpvA,PfeA,CupB5,CupA,CupB,CupC,CupD,LPS-LipidA-Palmitoyl,L-LipidA-Ara4N,LPS-CPA,LPS-OSA,LPS-galU,LPS-rough,LPS
,1,E4,027i,1.E4,efflux,MexJK-OprM,efflux/↑mexJK,"(mPMQ72) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.2%,"(mPMQ72 +mexJK +oprM) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.2%,single efflux system overexpression in trans; CS = PA0397 [@Chuanchuen:2005gy] ∆exsD w/ ZTP riboswitch reporter in attB site + empty vector; vector confers Gm15 resistance,,,,,,1.0,1.0,0.0,1.0,-1.0,1.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
,1,E5,027i,1.E5,efflux,MexXY-OprM,efflux/↑mexXY,"(mPMQ72) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.02%,"(mPMQ72 +mexXY +oprM) ∆exsD attB::PexoT::ZTP_lacZ ∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,,,gm15+ara0.02%,single efflux system overexpression in trans; CS = PA0397 [@Chuanchuen:2005gy] ∆exsD w/ ZTP riboswitch reporter in attB site + empty vector; vector confers Gm15 resistance,,,,,,,1.0,1.0,,1.0,1.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
,1,E6,027i,1.E6,secretion,T3SS,exsA/↑ExsA,∆exsA (pMMB67EH),PA14,1555,,cb200+IPTG,∆exsA (pMMB67EH pTac::exsA),PA14,1557,,cb200+IPTG,IPTG-inducible T3SS activation; pTac::exsA made by Deanna during rotation. Very leaky (OK for me),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,E7,027i,1.E7,porin,OprP,oprP/WT,oprP::Tn,PA14,NR_44863,No grow 4	E10,PO4deficient,WT,PA14,430,,PO4deficient,induced in phosphate limitation [@Hancock:1982if],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,E8,027i,1.E8,porin,OpdH,opdH/PA0757,opdH#PA14_54520::Tn,PA14,NR_36225,7-2	F4,mVBM,tctD#PA14_54500::Tn,PA14,NR_37875,8-1	F6,mVBM,opdH induced when citrate is sole carbon source; opdH is repressed by tctE/tctD (PA0756/PA0757) TCS [@Taylor:2019cn]; deletion of either TCS component causes higher expression in glucose or succinate [@Tamber:2007gh]. TctD is also a repressor of oprP/oprO [@Chevalier:2017ck],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,1,E9,027i,1.E9,secretion,T3SS,exsA/exsD,∆exsA,PA14,1285,,MinS,∆exsD,PA14,1276,,MinS+NTA,"ExsA is T3SS master activator, ExsD is anti-activator; exsA mutants cannot express, while exsD constitutively express T3SS regulon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,1,E10,027i,1.E10,secretion,T3SS,exsA/exsD,∆exsA,PA103,219,,MinS,∆exsD,PA103,408,,MinS+NTA,"ExsA is T3SS master activator, ExsD is anti-activator; exsA mutants cannot express, while exsD constitutively express T3SS regulon",,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5,1,E11,027i,1.E11,porin,OprD,oprD/WT,oprD::Tn,PA14,NR_35173,6-4	D9,BM2+ala20mM,WT,PA14,430,,BM2+ala20mM,"frequently lost in infection isolates; loss confers fitness advantage, imipenem resistance; primarily is an amino acid transporter; induced when grown in minimal media w/ arginine, glutamate, or alanine as the sole carbon source [@Ochs:1999jn]",,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,E12,027i,1.E12,c-di-GMP,c-di-GMP,rocR↑/yfiN (tpbB)↑,attB::pAra::rocR,PAK,1644,,ara0.2,attB::pAra::PA1120,PAK,1645,,ara0.2,"c-di-GMP overproduction; rocR is a PDE, yfiN aka tpbB aka PA1120 is a DGC; strains made by Miguel",,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
,1,F1,027i,1.F1,efflux,MexAB-OprM,efflux/↑mexAB,"∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,1468,,ara0.2,+mexAB+oprM ,PAO1 PA0397,1469,,ara0.2,∆efflux w/ single system complementation in trans; CS = PA0397; [@Chuanchuen:2005gy],,,,,,1.0,1.0,1.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,1,F2,027i,1.F2,efflux,MexCD-OprJ,efflux/↑mexCD,"∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,1468,,ara0.2,+mexCD+oprJ,PAO1 PA0397,1470,,ara0.2,∆efflux w/ single system complementation in trans; CS = PA0397; [@Chuanchuen:2005gy],,,,,,1.0,,1.0,1.0,0.0,1.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,1.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,1,F3,027i,1.F3,efflux,MexEF-OprN,efflux/↑mexEF,"∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,1468,,ara0.2,+mexEF+oprN,PAO1 PA0397,1471,,ara0.2,∆efflux w/ single system complementation in trans; CS = PA0397; [@Chuanchuen:2005gy],,,,,,,1.0,1.0,1.0,0.0,,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
,1,F4,027i,1.F4,efflux,MexJK-OprM,efflux/↑mexJK,"∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,1468,,ara0.2,+mexJK+oprM,PAO1 PA0397,1472,,ara0.2,∆efflux w/ single system complementation in trans; CS = PA0397; [@Chuanchuen:2005gy],,,,,,1.0,1.0,0.0,1.0,-1.0,1.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
,1,F5,027i,1.F5,efflux,MexXY-OprM,efflux/↑mexXY,"∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,1468,,ara0.2,+mexXY+oprM,PAO1 PA0397,1473,,ara0.2,∆efflux w/ single system complementation in trans; CS = PA0397; [@Chuanchuen:2005gy],,,,,,,1.0,1.0,,1.0,1.0,,,0.0,,,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
,1,F6,027i,1.F6,efflux,MexXY-OprM,efflux/WT,"∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,1468,,LB,WT,PAO1 Lory,1467,,tet4,tet 4 µg/mL -> ~15x increase in mexXY [@Dean:2003er],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
,1,F7,027i,1.F7,efflux,MexEF-OprN,efflux/WT,"∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,1468,,LB,WT,PAO1 Lory,1467,,cam16,chloramphenicol 16 µg/mL -> increased mexEF-oprN expression [@Fetar:2011ih],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,0.0,1.0,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
F12,1,F8,027i,1.F8,iron,PirA (FepA),pirA/WT,pirA#PA14_52230::Tn,PA14,NR_35992,7-2	B5,M9+chelex,WT,PA14,430,,M9+chelex,ferric enterobactin siderophore receptor; tonB-dependent[@Cornelis:2009dk] [@Ghysels:2005bf],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
G2,1,F9,027i,1.F9,iron,PhuR,phuR/WT,phuR#PA14_62350::Tn,PA14,NR_53271,13-1	A7,M9+chelex,WT,PA14,430,,M9+chelex,heme uptake receptor Phu [@Minandri:2016ba],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
G3,1,F10,027i,1.F10,iron,TonB,tonB/WT,tonB::Tn,PA14,NR_32482,5-3	G5,M9+chelex,WT,PA14,430,,M9+chelex,energy transducer and active transport; most iron acquisition systems are TonB-dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
,1,F11,027i,1.F11,iron,FpvA,fpvA/WT,fpvA::Tn,PA14,NR_43776,10-4	H1,M9+chelex,WT,PA14,430,,M9+chelex,pyoverdine siderophore transporter. [@Cornelis:2009dk] [@Takase:2000ir],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
,1,F12,027i,1.F12,iron,FptA,fptA/WT,fptA::Tn,PA14,NR_41286,9-4	D5,M9+chelex,WT,PA14,430,,M9+chelex,pyochelin siderophore transporter. [@Cornelis:2009dk] [@Takase:2000ir],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
,1,G1,027i,1.G1,iron,PfeA,pfeA/WT,pfeA::Tn,PA14,NR_31415,5-1	E9,LB,WT,PA14,430,,LB,ferric enterobactin siderophore receptor; tonB-dependent[@Cornelis:2009dk] [@Takase:2000ir],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
F9,1,G2,027i,1.G2,c-di-GMP,SCV,wspF/WT,wspF#PA14_16480::Tn,PA14,NR_29257,4-1	C7,,WT,PA14,430,,,"wspF mutant is constitutively c-di-GMP on; wspF mutant has autoaggregative small colony variant (SCV) phenotype [@DArgenio:2002ff]. wspF mutant may have greater phenotypic difference vs. WT in liquid, whereas on surface WT will be c-di-GMP on too. ",,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,G3,027i,1.G3,c-di-GMP,SCV,WT/wspF,WT,PA14,430,,,wspF#PA14_16480::Tn,PA14,NR_29257,4-1	C7,,see 1-G2 (opposite direction),,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,1,G4,027i,1.G4,efflux,MexT,mexT,mexT::Tn,PA14,NR_46755,12-1	E6,,WT,PA14,430,,,"MexT inhibits MexAB-OprM transcription, downregulates OprD, downregulates T3SS, and may activate MexEF-OprN [@Li:2015fx] p.374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,1.0,,1.0,,,-1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
D2,1,G5,027i,1.G5,efflux,MexI,mexI,mexI::Tn,PA14,NR_43615,10-4	F5,,WT,PA14,430,,,component of the MexGHI-OpmD system [@Aendekerk:2002ku],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
C1,1,G6,027i,1.G6,efflux,MexAB-OprM,oprM/nalC,oprM::Tn,PA14,NR_38915,8-3	D1,,nalC#PA14_16280::Tn,PA14,NR_31143,5-1	B6,,nalC mutants overexpress MexAB-OprM and increase resistance [@Li:2015fx],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
C2,1,G7,027i,1.G7,efflux,MexAB-OprM,oprM/nalC,oprM::Tn,PA14,NR_38915,8-3	D1,,nalC#PA14_16280::Tn,PA14,NR_31143,5-1	B6,,nalC mutants overexpress MexAB-OprM and increase resistance [@Li:2015fx],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
C3,1,G8,027i,1.G8,efflux,MexAB-OprM,oprM/nalD,oprM::Tn,PA14,NR_38915,8-3	D1,,nalD#PA14_18080::Tn,PA14,NR_27882,3-2	D1,,NalD inhibits mexAB-oprM transcription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
C4,1,G9,027i,1.G9,efflux,MexXY-OprM,oprM/mexZ,oprM::Tn,PA14,NR_38915,8-3	D1,,mexZ#PA14_38380::Tn,PA14,NR_41094,9-3	H8,,"MexZ inhibits mexXY-(oprA) transcription (oprA is only present in PA7-clade, in other strains MexXY-works mostly w/ OprM) [@Li:2015fx]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
,1,G10,027i,1.G10,efflux,MexCD-OprJ,WT/nfxB,WT,PA14,430,,,nfxB::Tn,PA14,NR_55219,13-4	A11,,NfxB inhibits mexCD-oprJ transcription; nfxB mutants overexpress [@Li:2015fx]. oprJ::Tn mutant from PA14_NR didn't grow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
,1,G11,027i,1.G11,efflux,MexJK-OprM,oprM/mexL,oprM::Tn,PA14,NR_38915,8-3	D1,,mexL#PA14_16790::Tn,PA14,NR_48660,13-3	B1,,MexL inhibits mexJK transcription [@Li:2015fx]; not sure how much influence it has on OprM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
B12,1,G12,027i,1.G12,efflux,MexAB-OprM,(mexAB-oprM) (mexCD-oprJ) mexJKL (mexHI-opmD) opmH/WT,"∆{mexAB,oprM} ∆{mexCD,oprJ} ∆mexJKL ∆{mexHI,opmD} ∆opmH",PAO1 MB5919,1377,,,WT,PAO1 MB5919,1376,,,MexAB-OprM is constitutive [@Adewoye:2002jm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
,1,H1,027i,1.H1,efflux,MexAB-OprM,(mexAB-oprM) (mexCD-oprJ) mexJKL (mexHI-opmD) opmH/WT,"∆{mexAB,oprM} +nfxB ∆{mexCD,oprJ} ∆mexJKL ∆mexXY ∆opmH362 ∆{mexEF,oprN}",PAO1 PA0397,1468,,,WT,PAO1 Lory,1467,,,MexAB-OprM is constitutive [@Adewoye:2002jm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
G5,1,H2,027i,1.H2,fimbrae,CupB5 adhesin,cupB5/WT,cupB5::Tn,PA14,NR_53195,12-4	H9,,WT,PA14,430,,,"atypical T5bSS (two-partner) passenger; cupB3 serves as TpsA component, sorta... [@Ruer:2008jk] [@Filloux:2011dl]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
,1,H3,027i,1.H3,fimbrae,CupA fimbrae,mvaT/cupA3,cupA3::Tn,PA14,NR_30364,4-3	F12,,mvaT::Tn,,NR_34492,6-3	B7,,mvaT is a negative regulator of cupA gene cluster but not cupB or cupC [@Vallet:2004id],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
,1,H4,027i,1.H4,fimbrae,CupB fimbrae,cupB3/rocR,cupB3::Tn,PA14,NR_55040,13-3	G11,,rocR#PA14_12810::Tn,PA14,NR_28357,14-4	G4,,"cupB3, the usher component, forms a pore in the outer membrane; negatively regulated by rocR [@Mikkelsen:2011ika]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
,1,H5,027i,1.H5,fimbrae,CupB fimbrae,cupB3/rocR,cupB3::Tn,PA14,NR_55040,13-3	G11,,rocR#PA14_12810::Tn,PA14,NR_28357,12-1	F5,,"cupB3, the usher component, forms a pore in the outer membrane; negatively regulated by rocR [@Mikkelsen:2011ika]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
,1,H6,027i,1.H6,fimbrae,CupC fimbrae,cupC3/rocR,cupC3::Tn,PA14,NR_56031,14-1	B3,,rocR#PA14_12810::Tn,PA14,NR_28357,14-4	G4,,"cupC3, the usher component, forms a pore in the outer membrane; negatively regulated by rocR [@Mikkelsen:2011ika]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
,1,H7,027i,1.H7,fimbrae,CupC fimbrae,cupC3/rocR,cupC3::Tn,PA14,NR_33483,15-1	E4,,rocR#PA14_12810::Tn,PA14,NR_28357,12-1	F5,,"cupC3, the usher component, forms a pore in the outer membrane; negatively regulated by rocR [@Mikkelsen:2011ika]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
,1,H8,027i,1.H8,fimbrae,CupD fimbrae,cupD3/pvrR,cupD3#PA14_59735::Tn,PA14,NR_53232,15-1	G10,,pvrR::Tn,PA14,NR_37812,8-1	E6,,"unlike other cup fimbrae, CupD is found only in PA14 and PA7; pvrR is negative regulator (PvrRS TCS). [@Mikkelsen:2011ika]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
,1,H9,027i,1.H9,fimbrae,CupD fimbrae,cupD3/pvrR,cupD3#PA14_59735::Tn,PA14,NR_23406,1-1	F5,,pvrR::Tn,PA14,NR_37610,15-2	A11,,"unlike other cup fimbrae, CupD is found only in PA14 and PA7; pvrR is negative regulator (PvrRS TCS). [@Mikkelsen:2011ika]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
B8,1,H10,027i,1.H10,general,Pa,SA113/WT,,SA113,,,,WT,PA14,430,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,1.0
B8,1,H11,027i,1.H11,general,Pa,SA113/WT,,SA113,,,,WT,PA14,430,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,1.0
B8,1,H12,027i,1.H12,general,Pa,SA113/WT,,SA113,,,,WT,PA14,430,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,1.0
B7,2,A1,027i,2.A1,general,Pa,SA113/WT,,SA113,,,,WT,PAK,517,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,,1.0
,2,A2,027i,2.A2,general,Pa,SA113/WT,,SA113,,,,WT,PAO1,220,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,,1.0
,2,A3,027i,2.A3,general,Pa,SA113/WT,,SA113,,,,WT,PA103,209,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,0.0,0.0,0.0,0.0,,,1.0,1.0,,,1.0
D9,2,A4,027i,2.A4,LPS,LPS CoreOS [galU],galU/WT,galU::Tn,PA14,NR_52640,12-3	H7,,WT,PA14,430,,,"galU mutants have a characteristic truncated LPS outer core oligosaccharide (core OS) [@Kocincova:2011ez], which in turn is not capped by O-antigen (rough LPS) [@Priebe:2004bw]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
D10,2,A5,027i,2.A5,LPS,LPS OSA,waaL/WT,waaL#PA14_66100::Tn,PA14,NR_31296,No grow 2	H2,,WT,PA14,430,,,O-specific antigen-lipid A ligase. Mutants produce only uncapped LPS = Lipid A::Core OS [@Lam:2011gm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
D11,2,A6,027i,2.A6,LPS,LPS OSA [Short-Very Long],wzy/WT,wzy::aacC1,PA103,433,,,WT,PA103,209,,,"O-specific antigen polymerase. wzy mutants produce only OSA-capped LPS only with very short polysaccharides (one monomer, aka ""Core+1"") = Lipid A::Core OS::OSA[Core+1]  [@Lam:2011gm]",,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
D12,2,A7,027i,2.A7,LPS,LPS OSA [Long],wzz/WT,wzz::Tn,PA14,NR_33590,6-1	F2,,WT,PA14,430,,,O-specific antigen chain length regulator; wzz mutants do not produce intermediate-length OSA; = Lipid A::Core OS::OSA[Low MW or High MW] [@Lam:2011gm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
E1,2,A8,027i,2.A8,LPS,LPS OSA,wbpL/WT,wbpL::Tn,PA14,NR_35855,14-3	A10,,WT,PA14,430,,,O-specific antigen glycosyltransferrase; mutants produce only uncapped LPS = Lipid A::Core OS [@Lam:2011gm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
E2,2,A9,027i,2.A9,LPS,LPS OSA,wbpM/WT,wbpM::Tn,PA14,NR_28941,3-4	E4,,WT,PA14,430,,,O-specific antigen sugar epimerase; mutants produce only uncapped LPS = Lipid A::Core OS [@Belanger:1999bja] [@Burrows:1996im] [@Lam:2011gm],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
,2,A10,027i,2.A10,LPS,LPS palmitoyl-lipid A,pagP/WT,pagP#PA14_46900::Tn,PA14,NR_44264,11-1	F5,,WT,PA14,430,,,PagP transfers palmitate from OM lipids to lipid A [@Thaipisuttikul:2014ca],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
